2026-03-26 10:12:47,382 INFO    MainThread:762742 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2026-03-26 10:12:47,383 INFO    MainThread:762742 [wandb_setup.py:_flush():81] Configure stats pid to 762742
2026-03-26 10:12:47,383 INFO    MainThread:762742 [wandb_setup.py:_flush():81] Loading settings from /home/v1/.config/wandb/settings
2026-03-26 10:12:47,383 INFO    MainThread:762742 [wandb_setup.py:_flush():81] Loading settings from /home/v1/Github_projects/Interactive-Navigation-for-legged-manipulator/low_level_WBC/legged_gym/scripts/wandb/settings
2026-03-26 10:12:47,383 INFO    MainThread:762742 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-26 10:12:47,383 INFO    MainThread:762742 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /home/v1/Github_projects/Interactive-Navigation-for-legged-manipulator/low_level_WBC/legged_gym/envs/logs/wandb/run-20260326_101247-b43atqd0/logs/debug.log
2026-03-26 10:12:47,384 INFO    MainThread:762742 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /home/v1/Github_projects/Interactive-Navigation-for-legged-manipulator/low_level_WBC/legged_gym/envs/logs/wandb/run-20260326_101247-b43atqd0/logs/debug-internal.log
2026-03-26 10:12:47,384 INFO    MainThread:762742 [wandb_init.py:init():833] calling init triggers
2026-03-26 10:12:47,384 INFO    MainThread:762742 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-26 10:12:47,384 INFO    MainThread:762742 [wandb_init.py:init():881] starting backend
2026-03-26 10:12:47,614 INFO    MainThread:762742 [wandb_init.py:init():884] sending inform_init request
2026-03-26 10:12:47,652 INFO    MainThread:762742 [wandb_init.py:init():892] backend started and connected
2026-03-26 10:12:47,654 INFO    MainThread:762742 [wandb_init.py:init():962] updated telemetry
2026-03-26 10:12:47,665 INFO    MainThread:762742 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2026-03-26 10:12:48,814 INFO    MainThread:762742 [wandb_init.py:init():1033] starting run threads in backend
2026-03-26 10:12:48,928 INFO    MainThread:762742 [wandb_run.py:_console_start():2506] atexit reg
2026-03-26 10:12:48,928 INFO    MainThread:762742 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-03-26 10:12:48,928 INFO    MainThread:762742 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-03-26 10:12:48,928 INFO    MainThread:762742 [wandb_run.py:_redirect():2446] Redirects installed.
2026-03-26 10:12:48,929 INFO    MainThread:762742 [wandb_init.py:init():1073] run started, returning control to user process
2026-03-26 10:13:41,946 INFO    wandb-AsyncioManager-main:762742 [service_client.py:_forward_responses():80] Reached EOF.
2026-03-26 10:13:41,946 INFO    wandb-AsyncioManager-main:762742 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
